ref_021_14110255-G0013_316322_9284,1.553963728,1.002483181,1.014243748,1.066136934,0.700298537,0.504429474,0.01173852,-0.049211416,-0.627646198,-0.550768754,-0.790355477,-1.181872023,-1.119610697,-1.131785797,-1.129961567,-1.129961582,-1.131785666,-1.119611612,-1.18184605,-0.790029194,-0.550750541,-0.627657598,-0.049229424,0.012098297,0.501886294,0.713501816,1.009623337,1.41691796,1.563981131,2.090780637
ref_021_14110255-G0013_316328_9404,1.600664474,1.542789072,1.038807617,0.813945665,0.870846621,0.454104778,0.088872281,-0.072174699,-0.271997181,-0.613782545,-0.649544433,-0.751430538,-1.082919523,-0.988195931,-1.384805665,-1.413892103,-1.308160513,-1.000331952,-1.030239797,-1.050298317,-0.643935787,-0.543846797,-0.272771587,-0.026689624,0.466373714,0.503366264,1.031302187,1.218874223,1.49787016,1.977199935
ref_021_14110255-G0013_318350_16554,0.293455853,-0.077756755,-0.375900021,-0.485438701,-0.634375921,-0.901906136,-0.877867221,-1.037203234,-1.29391491,-1.275023966,-1.275682552,-1.263774209,-1.228730621,-0.883091145,-0.539705107,-0.444889201,-0.056256367,-0.102863099,-0.111652759,0.081289002,0.661440737,0.655719736,0.9377886,1.061740838,1.392455519,1.288086493,1.471573416,1.450331855,1.711588114,1.86056176
ref_021_14110255-G0013_318359_14414,0.84455742,0.427113049,0.004973228,-0.234417188,-0.565566619,-0.777940671,-0.796874728,-1.123406755,-1.199195573,-1.392990736,-1.387967512,-1.386282318,-1.332957678,-1.20428323,-0.936371043,-0.670790414,-0.46054785,-0.074553644,0.218629648,0.647140205,0.852738509,0.845117518,0.850157466,0.956951677,1.050856132,1.035284549,1.252587987,1.434825876,1.534633688,1.588579006
ref_021_14110255-G0013_319783_38533,1.452782261,1.152976305,0.790025101,0.626078305,0.382049669,-0.18912491,-0.456582134,-0.470195147,-0.69251535,-0.690878473,-1.029387378,-0.672443725,-0.620741902,-0.987415904,-0.899433971,-0.999058189,-1.199339289,-1.231796114,-1.225811278,-0.769753714,-0.364731707,-0.150305188,-0.147321084,0.113432228,0.321279212,0.64679233,1.49812617,1.810069762,2.013803037,1.989421077
ref_021_14110255-G0013_319884_40288,0.134328506,0.208420504,-0.259249877,-0.56089066,-0.546332439,-0.179631285,-0.825968921,-1.056465833,-1.052778263,-1.043551641,-1.047255402,-1.046896977,-1.044104959,-1.053972117,-1.034258617,-0.988943683,0.23860283,0.100414147,0.143170959,0.131833087,0.136775536,0.129769014,0.127145126,0.294795796,1.458912681,1.178412757,2.003258858,2.669079611,1.470231247,1.315150016
ref_021_14110255-G0013_326528_32154,1.182206492,0.95504574,0.731050138,0.499898002,0.223796037,-0.201494776,-0.473740385,-0.620840268,-0.92509979,-1.114751655,-1.091379416,-1.122821549,-1.126865588,-1.135275808,-1.232991644,-1.053280719,-1.100908458,-1.078832989,-0.860830827,-0.550850235,-0.219273278,0.306559369,0.846118841,1.075265367,1.122602252,1.231736509,1.350055372,1.33880174,1.536949512,1.509152012
ref_021_18450425-G0014_350687_21011,1.890599944,1.971904602,1.726827591,1.914952671,1.782640512,1.358075868,0.947946482,0.224220632,-0.209724894,-0.405251839,-0.404661372,-0.852240869,-0.844858281,-1.116759408,-0.940538139,-0.773536559,-0.764607593,-0.883936067,-0.751079034,-0.676028469,-0.644033934,-0.633804876,-0.624050815,-0.593481232,-0.558310497,0.010183594,-0.420720781,-0.551799429,0.024673936,0.797398256
ref_021_18450425-G0014_350687_21054,2.261850758,1.889143238,1.683722456,1.644797872,1.429080844,0.86708159,0.580904267,0.529008676,0.18125736,0.094194816,-0.368323709,-0.268978264,-0.853551856,-1.11167029,-1.354355606,-1.062211553,-1.075933122,-1.098232881,-1.052860513,-0.918331879,-0.765159459,-0.669583262,-0.707843626,-0.860412642,-0.239075772,-0.043210681,0.098316406,0.301215959,0.300830822,0.588330052
ref_021_18450425-G0014_351037_23665,2.073957259,1.426499423,1.039093962,0.558699337,0.142176789,-0.183465616,-0.170526833,0.030243977,0.268098274,0.392286988,0.252061414,-0.272666713,-0.753015148,-0.692185682,-0.510350709,-0.700526656,-1.13362255,-1.329199948,-1.308963537,-1.066070553,-0.961098995,-1.35164735,-1.11241221,-0.629306538,-0.303094186,0.328482478,0.949473363,1.409874572,1.53324813,2.073957259
