0.433333,-1.070662,0.001074,-1.221600,0.835293,3.257237,0.741267,0.854206,0.130996,0.215572,0.655868,0.802705,0.962159
0.466667,-0.694215,0.323181,-2.333183,0.869621,3.404034,1.580454,0.594627,0.347099,0.728374,0.742534,0.743907,0.783449
0.466667,-1.480263,0.243008,-0.169249,0.905658,2.924429,0.582088,0.948330,0.268262,0.567039,0.633184,0.838788,0.920880
0.200000,1.265041,1.336253,-9.620970,0.730693,4.025354,0.931877,0.765885,0.080783,0.479959,0.581907,0.735737,0.903255
0.500000,-0.179308,0.550532,-1.475574,0.729992,3.700423,1.334594,0.933860,0.003002,0.026952,0.771764,0.900095,0.926478
0.433333,-1.888994,0.281181,-0.292802,0.986416,2.326695,1.976517,0.114398,0.764440,0.835429,0.836565,0.837500,0.851066
0.466667,-0.979901,0.428357,-0.888863,0.872343,3.255026,0.907283,0.779392,0.274038,0.300914,0.705280,0.917328,0.941435
0.433333,-1.292465,-0.039349,-0.614095,0.878104,3.213431,0.571274,0.902251,0.147862,0.328706,0.501734,0.686945,0.960133
0.500000,-1.046640,-0.099687,0.385664,0.775232,2.964336,1.401794,1.019888,0.004605,0.059369,0.251326,0.851942,0.891662
0.233333,-0.916556,-0.584480,-5.404943,0.874665,2.983498,1.546056,1.020184,0.188132,0.214891,0.227747,0.258384,0.953015
0.533333,-1.404005,0.249633,1.372346,0.884420,2.714199,0.931012,0.884661,0.105518,0.618715,0.902702,0.957365,0.965650
0.300000,-0.729275,-0.041674,-5.958477,0.853227,3.598430,1.260155,0.827420,0.226521,0.234225,0.242287,0.269841,0.909709
0.366667,-1.069047,0.420362,-3.101914,0.888388,3.306375,0.852179,0.760306,0.386813,0.524756,0.561570,0.692432,0.950312
0.300000,-0.094075,0.734289,-6.582217,0.809565,3.783085,1.250932,0.622738,0.180870,0.344096,0.383195,0.421998,0.661357
0.466667,-1.097539,0.036044,-0.818830,0.839260,3.090871,0.824638,0.832004,0.140022,0.203389,0.683315,0.924050,0.959913
0.200000,-0.364012,0.256193,-7.579763,0.825426,3.887265,1.249416,0.791430,0.027901,0.192331,0.224449,0.364093,0.804272
0.300000,-0.657039,0.710666,-5.273853,0.845471,3.384822,0.565621,0.494240,0.367699,0.375802,0.463602,0.529852,0.972006
0.433333,-0.654909,0.461390,-2.450909,0.849725,3.464489,0.924009,0.778164,0.232626,0.286058,0.421005,0.841116,0.877245
0.400000,-0.610270,0.077305,-3.474187,0.813961,3.884525,1.120903,0.651551,0.131660,0.145305,0.239297,0.498003,0.986625
0.600000,-1.101781,0.470590,1.107604,0.889106,3.399003,1.120020,0.792455,0.376473,0.833487,0.918589,0.921474,0.926810
0.500000,-0.360982,0.245730,-1.219293,0.772494,4.076965,1.538957,0.547897,0.000059,0.004740,0.234506,0.705525,0.980459
0.333333,-1.589300,0.562902,-2.881834,0.941670,2.524035,1.564373,0.032171,0.041566,0.852782,0.859304,0.859664,0.868580
0.200000,-0.443565,0.961868,-7.801050,0.858855,3.251203,0.702871,0.359964,0.234668,0.498479,0.709180,0.838005,0.949800
0.500000,-0.870909,0.502976,-1.625887,0.846596,3.155325,1.676223,1.178924,0.398342,0.759875,0.778954,0.862334,0.997501
0.466667,-1.891691,-0.242484,1.008807,0.983039,2.337744,1.813610,0.290220,0.746954,0.791330,0.794676,0.795915,0.809125
0.466667,-1.273389,-0.038488,-0.349084,0.874904,3.376842,0.699225,0.809446,0.188958,0.350335,0.446495,0.543544,0.898322
0.300000,-0.247183,0.232103,-5.947456,0.857211,4.301253,1.600390,0.573031,0.242279,0.371298,0.379570,0.857136,0.921650
0.100000,-0.616986,0.537620,-7.795225,0.926868,3.770247,1.853028,0.656323,0.802869,0.811999,0.813098,0.813401,0.822243
